rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,182.32,172.09,165.106,189.377,187.636,180.652,198.698,62177.2,59423.9,59752.6,63398.8,64005.9,64334.5,68477.6
4,0,182.32,172.899,165.029,189.377,186.267,178.397,198.737,62177.2,60340.7,60153,63398.8,64157.4,63969.6,68490.4
5,0,182.32,171.753,163.889,189.377,186.794,178.93,198.699,62177.2,59898.2,59767.8,63398.8,64283,64152.7,68477.6
6,0,182.32,172.568,164.818,189.377,186.12,178.37,198.737,62177.2,60254.7,60175.7,63398.8,64165.7,64086.7,68490.4
7,0,182.32,179.14,165.63,189.377,185.794,172.29,198.699,62177.2,61987.3,60332.4,63398.8,64295,62642.3,68477.6
1,1,182.319,169.877,162.877,189.376,187.73,162.877,198.699,62177.2,59336.2,57963.3,63398.8,64651.1,57963.3,68477.6
2,1,182.319,170.402,163.364,189.376,187.579,163.364,198.699,62177.2,59494.2,58034.3,63398.8,64584,58034.3,68477.6
3,1,182.319,170.977,163.939,189.376,187.623,163.939,198.737,62177.2,59732.2,58313,63398.8,64661.1,58313,68490.4
4,1,182.319,172.899,164.863,189.376,186.267,164.863,198.737,62177.2,60340.7,58520.6,63398.8,64157.4,58520.6,68490.4
5,1,182.319,171.753,163.983,189.376,186.793,163.983,198.699,62177.2,59898.2,58231.6,63398.8,64283,58231.6,68477.6
6,1,182.319,172.568,165.079,189.376,186.12,165.079,198.737,62177.2,60254.7,58688.2,63398.8,64165.7,58688.2,68490.4
7,1,182.319,179.139,165.554,189.377,185.794,165.554,198.699,62177.2,61987.3,58844.1,63398.8,64295,58844.1,68477.6
1,2,182.319,169.877,162.495,189.376,187.73,162.495,198.699,62177.2,59336.2,58032.8,63398.8,64651.1,58032.8,68477.6
2,2,182.319,170.402,163.638,189.376,187.579,163.638,198.699,62177.2,59494.2,57656.4,63398.8,64584,57656.4,68477.6
3,2,182.319,170.977,163.337,189.376,187.623,163.337,198.737,62177.2,59732.2,58550.9,63398.8,64661.1,58550.9,68490.4
4,2,182.319,172.899,164.668,189.377,186.267,164.668,198.737,62177.2,60340.7,58518.4,63398.8,64157.4,58518.4,68490.4
5,2,182.319,171.752,163.43,189.376,186.793,163.43,198.699,62177.2,59898.2,58554.5,63398.8,64283,58554.5,68477.6
6,2,182.319,172.568,165.964,189.377,186.12,165.964,198.737,62177.2,60254.7,58341,63398.8,64165.7,58341,68490.4
0,1,182.319,172.089,164.271,189.377,187.635,164.271,198.698,62177.2,59423.9,57936.7,63398.8,64005.9,57936.7,68477.6
7,2,182.319,179.139,165.125,189.377,185.794,165.125,198.699,62177.2,61987.3,58880.7,63398.8,64295,58880.7,68477.6
