rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,268.668,225.56,217.063,294.139,291.529,283.083,305.345,52091.3,46920.3,46965.4,53042.7,55849.8,55902.5,59610.8
.5
10,0,268.668,235.607,225.578,294.139,291.077,281.048,305.352,52091.3,48547.5,48524.9,53042.7,55702.6,55680,59612.5
5,0,268.668,222.047,211.515,294.139,291.577,281.046,305.353,52091.3,46171.6,45985.7,53042.7,55770,55584.1,59612.5
7,0,268.668,246.597,212.814,294.139,278.393,244.618,305.352,52091.3,48898.9,46322.7,53042.7,54271.3,51695.2,59612.5
2,0,268.668,224.467,214.385,294.139,291.5,281.426,305.353,52091.3,46798,46729.4,53042.7,55866,55798.8,59612.5
1,0,268.668,222.497,212.616,294.139,292.386,282.505,305.352,52091.3,46416.9,46386.1,53042.7,55998.3,55967.5,59612.5
6,0,268.668,226.054,215.963,294.139,291.65,281.564,305.352,52091.3,46965.7,47056.9,53042.7,55749,55840.9,59612.5
3,0,268.668,221.414,210.812,294.139,291.665,281.071,305.354,52091.3,46085.1,45848.4,53042.7,56003.3,55767.1,59612.7
4,0,268.668,227.116,216.902,294.139,291.822,281.608,305.353,52091.3,47210.1,47193.5,53042.7,55856.3,55839.7,59612.5
8,0,268.668,228.126,217.871,294.139,291.58,281.348,305.352,52091.3,47431.1,47308.6,53042.7,55833.8,55715.9,59612.5
9,1,268.667,230.459,219.039,294.137,291.087,219.039,305.352,52091.3,47756.1,46222.4,53042.5,55628.3,46222.4,59612.5
10,1,268.667,235.607,224.502,294.137,291.077,224.502,305.352,52091.3,48547.5,46913.1,53042.5,55702.6,46913.1,59612.5
5,1,268.667,222.046,210.423,294.137,291.577,210.423,305.353,52091.3,46171.6,44322.1,53042.5,55770,44322.1,59612.5
8,1,268.667,228.125,216.493,294.137,291.579,216.493,305.352,52091.3,47431.1,45456.7,53042.5,55833.8,45456.7,59612.5
7,1,268.667,246.596,214.085,294.137,278.393,214.085,305.352,52091.3,48898.9,44875.2,53042.7,54271.3,44875.2,59612.5
11,1,268.667,235.943,219.639,294.137,291.488,219.639,305.351,52091.3,48442.4,46102.2,53042.5,55685.6,46102.2,59612.5
2,1,268.666,224.466,214.082,294.137,291.499,214.082,305.353,52091.3,46798,45232,53042.5,55866,45232,59612.5
1,1,268.666,222.497,211.637,294.137,292.385,211.637,305.352,52091.3,46416.9,44710.7,53042.5,55998.3,44710.7,59612.5
6,1,268.666,226.053,214.698,294.137,291.649,214.698,305.352,52091.3,46965.7,45259.1,53042.5,55749,45259.1,59612.5
3,1,268.667,221.414,209.571,294.137,291.665,209.571,305.354,52091.4,46085.1,44174.5,53042.8,56003.3,44174.5,59612.7
0,1,268.668,225.56,213.703,294.138,291.528,213.703,305.345,52091.3,46920.3,45034,53042.7,55849.8,45034,59610.8
9,2,268.666,230.458,220.877,294.137,291.086,220.877,305.352,52091.3,47756.1,45648.5,53042.5,55628.3,45648.5,59612.5
4,1,268.667,227.115,215.941,294.137,291.821,215.941,305.353,52091.3,47210.1,45412.3,53042.5,55856.3,45412.3,59612.5
10,2,268.667,235.607,224.771,294.138,291.077,224.771,305.352,52091.3,48547.5,46802.4,53042.5,55702.6,46802.4,59612.5
5,2,268.666,222.046,210.466,294.137,291.577,210.466,305.353,52091.3,46171.6,44518.4,53042.5,55770,44518.4,59612.5
8,2,268.667,228.125,215.955,294.138,291.579,215.955,305.352,52091.3,47431.1,45514.4,53042.5,55833.8,45514.4,59612.5
7,2,268.666,246.596,211.652,294.137,278.392,211.652,305.352,52091.3,48898.9,44769.5,53042.7,54271.3,44769.5,59612.5
11,2,268.666,235.943,219.229,294.137,291.487,219.229,305.351,52091.3,48442.4,46224.8,53042.5,55685.6,46224.8,59612.5
2,2,268.667,224.466,213.904,294.138,291.5,213.904,305.353,52091.3,46798,45277.4,53042.5,55866,45277.4,59612.5
1,2,268.666,222.496,210.681,294.136,292.385,210.681,305.352,52091.3,46416.9,45187.9,53042.5,55998.3,45187.9,59612.5
6,2,268.666,226.053,214.301,294.137,291.649,214.301,305.352,52091.3,46965.7,45298.2,53042.5,55749,45298.2,59612.5
3,2,268.667,221.414,209.915,294.138,291.665,209.915,305.354,52091.4,46085.1,44212.2,53042.8,56003.3,44212.2,59612.7
0,2,268.667,225.56,213.694,294.138,291.528,213.694,305.345,52091.3,46920.3,45178.8,53042.7,55849.8,45178.8,59610.8
9,3,268.666,230.459,219.454,294.137,291.087,219.454,305.352,52091.3,47756.1,46039.5,53042.5,55628.3,46039.5,59612.5
4,2,268.667,227.116,215.756,294.138,291.822,215.756,305.353,52091.3,47210.1,45553.5,53042.5,55856.3,45553.5,59612.5
10,3,268.666,235.606,223.499,294.137,291.076,223.499,305.352,52091.4,48547.7,47232.5,53042.7,55702.8,47232.5,59612.5
5,3,268.666,222.046,209.674,294.137,291.576,209.674,305.353,52091.3,46171.6,44793.5,53042.5,55770,44793.5,59612.5
7,3,268.666,246.596,210.339,294.137,278.392,210.339,305.352,52091.3,48898.9,44859.3,53042.7,54271.3,44859.3,59612.5
