rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,7.41814,7.09979,7.09979,33.0174,11.8096,11.8096,14.8451,728.448,960.916,960.916,3447.19,1839.71,1839.71,3032.49
28,0,7.41814,5.77969,5.77969,33.0171,12.5183,12.5183,15.2208,728.448,624.936,624.936,3454.89,1993.95,1993.95,3108.44
9,0,7.41814,5.8745,5.8745,33.017,13.6498,13.6498,16.3119,728.448,675.377,675.377,3454.47,2260.33,2260.33,3331.42
33,0,7.41814,5.8492,5.8492,33.0171,13.2471,13.2471,15.9687,728.448,683.908,683.908,3454.84,2193.94,2193.94,3261.33
24,0,7.41814,5.88524,5.88524,33.017,31.5153,31.5153,34.2069,728.448,676.681,676.681,3454.28,5973.35,5973.35,7044.92
37,0,7.41814,5.92564,5.92564,33.0171,18.6391,18.6391,21.2539,728.448,719.689,719.689,3455.03,3331.01,3331.01,4358.19
7,0,7.41814,5.68293,5.68293,33.0175,12.2164,12.2164,14.8588,728.448,623.509,623.509,3455.74,1958.39,1958.39,3035.21
60,0,7.41814,5.47524,5.47524,33.0175,12.4615,12.4615,15.0884,728.448,612.574,612.574,3457.75,2026.14,2026.14,3081.46
30,0,7.41814,5.91834,5.91834,33.0174,32.0431,32.0431,34.7363,728.448,688.513,688.513,3454.65,6068.35,6068.35,7154.46
25,0,7.41814,5.93342,5.93342,33.0175,22.5536,22.5536,25.181,728.448,686.698,686.698,3454.84,4103.29,4103.29,5174.61
44,0,7.41814,5.73391,5.73391,33.0175,15.3701,15.3701,18.0674,728.448,654.971,654.971,3455.74,2614.33,2614.33,3694.36
57,0,7.41814,5.86329,5.86329,33.0175,14.1123,14.1123,16.8134,728.448,656.512,656.512,3454.65,2338.98,2338.98,3434.93
32,0,7.41814,5.6141,5.6141,33.0175,11.6934,11.6934,14.3227,728.448,616.979,616.979,3456.18,1855.87,1855.87,2930.23
4,0,7.41814,5.42247,5.42247,33.0175,30.8287,30.8287,33.3512,728.448,610.154,610.154,3452.84,5854.76,5854.76,6867.84
45,0,7.41814,5.87076,5.87076,33.0175,13.354,13.354,16.1005,728.448,668.681,668.681,3454.43,2194.25,2194.25,3288.25
10,0,7.41814,5.86169,5.86169,33.0175,25.2417,25.2417,27.9132,728.448,671.571,671.571,3454.84,4667.19,4667.19,5741.79
34,0,7.41814,5.87362,5.87362,33.0176,12.3212,12.3212,14.9968,728.448,662.959,662.959,3454.84,1969.84,1969.84,3062.75
58,0,7.41814,5.80834,5.80834,33.0175,27.1648,27.1648,29.839,728.448,641.21,641.21,3454.65,5042.02,5042.02,6140.72
31,0,7.41814,5.69093,5.69093,33.0176,19.1982,19.1982,21.8568,728.448,639.567,639.567,3455.26,3413.91,3413.91,4483.5
21,0,7.41814,5.91614,5.91614,33.0176,14.2497,14.2497,16.8627,728.448,684.418,684.418,3455.03,2383.39,2383.39,3445.37
41,0,7.41814,5.98759,5.98759,33.0176,26.3368,26.3368,28.9834,728.448,683.894,683.894,3454.65,4870.74,4870.74,5963.38
42,0,7.41814,6.02167,6.02167,33.0176,28.4848,28.4848,31.1507,728.448,700.218,700.218,3454.43,5324.32,5324.32,6412.5
62,0,7.41814,5.72264,5.72264,33.0174,26.7552,26.7552,29.4434,728.448,642.3,642.3,3455.93,4971.72,4971.72,6058.88
51,0,7.41814,5.70531,5.70531,33.0175,29.088,29.088,31.8143,728.448,616.201,616.201,3455.26,5433.76,5433.76,6549.8
19,0,7.41814,5.68486,5.68486,33.0171,22.448,22.448,25.1138,728.448,623.214,623.214,3455.1,4075.56,4075.56,5160.77
15,0,7.41814,5.63636,5.63636,33.0176,13.9845,13.9845,16.6748,728.448,603.337,603.337,3455.47,2300.45,2300.45,3406.28
18,0,7.41814,5.94058,5.94058,33.0176,30.9608,30.9608,33.6578,728.448,679.225,679.225,3454.43,5843.57,5843.57,6931.64
5,0,7.41814,5.8186,5.8186,33.0176,22.3061,22.3061,24.9455,728.448,642.314,642.314,3455.03,4042,4042,5125.61
22,0,7.41814,5.97566,5.97566,33.0176,13.5634,13.5634,16.1981,728.448,704.955,704.955,3454.65,2253.46,2253.46,3308.28
