rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,1.96051,1.70194,0.557972,4.23212,2.62228,1.47831,2.76076,90.0513,39.9326,49.3783,447.739,211.675,221.121,664.837
0,1,1.95912,1.70158,0.838322,4.22453,2.62179,0.838322,2.76076,87.0159,39.9326,20.0341,447.861,211.411,20.0341,664.837
0,2,1.95934,1.7018,0.782429,4.22474,2.62201,0.782429,2.76076,87.0159,39.9326,19.2173,447.861,211.411,19.2173,664.837
0,3,1.95896,1.70141,0.682413,4.22436,2.62162,0.682413,2.76076,87.0159,39.9326,14.8344,447.861,211.411,14.8344,664.837
0,4,1.95905,1.7015,0.781361,4.22445,2.62171,0.781361,2.76076,87.0159,39.9326,18.9663,447.861,211.411,18.9663,664.837
0,5,1.9592,1.70166,0.903732,4.22461,2.62187,0.903732,2.76076,87.0159,39.9326,15.3444,447.861,211.411,15.3444,664.837
0,6,1.959,1.70145,0.890893,4.2244,2.62166,0.890893,2.76076,87.0159,39.9326,14.7029,447.861,211.411,14.7029,664.837
0,7,1.95901,1.70147,0.863374,4.22442,2.62168,0.863374,2.76076,87.0159,39.9326,18.6385,447.861,211.411,18.6385,664.837
0,8,1.95925,1.70171,0.70987,4.22466,2.62192,0.70987,2.76076,87.0159,39.9326,20.4144,447.861,211.411,20.4144,664.837
0,9,1.95929,1.70175,0.859311,4.2247,2.62196,0.859311,2.76076,87.0159,39.9326,14.8926,447.861,211.411,14.8926,664.837
0,10,1.95892,1.70137,0.911245,4.22432,2.62158,0.911245,2.76076,87.0159,39.9326,16.4518,447.861,211.411,16.4518,664.837
0,11,1.95909,1.70154,0.792332,4.22449,2.62175,0.792332,2.76076,87.0159,39.9326,15.7745,447.861,211.411,15.7745,664.837
1,0,1.96051,1.53878,0.615734,4.23211,3.84994,2.92689,3.95267,90.0513,38.7643,36.9891,458.644,483.564,481.788,880.861
1,1,1.92753,1.53824,0.770142,4.19285,3.81068,0.770142,3.95267,86.6297,38.7643,12.3485,447.475,472.394,12.3485,880.861
1,2,1.92776,1.53847,0.710582,4.19308,3.81091,0.710582,3.95267,86.6297,38.7643,16.1338,447.475,472.394,16.1338,880.861
1,3,1.92741,1.53812,0.570508,4.19273,3.81056,0.570508,3.95267,86.6297,38.7643,14.3263,447.475,472.394,14.3263,880.861
1,4,1.92785,1.53856,0.761319,4.19317,3.811,0.761319,3.95267,86.6297,38.7643,15.4583,447.475,472.394,15.4583,880.861
1,5,1.92757,1.53828,0.826823,4.19289,3.81072,0.826823,3.95267,86.6297,38.7643,16.8191,447.475,472.394,16.8191,880.861
1,6,1.92766,1.53837,0.793541,4.19298,3.81081,0.793541,3.95267,86.6297,38.7643,13.9736,447.475,472.394,13.9736,880.861
1,7,1.92771,1.53842,0.779743,4.19303,3.81086,0.779743,3.95267,86.6297,38.7643,14.5345,447.475,472.394,14.5345,880.861
1,8,1.92745,1.53816,0.657949,4.19277,3.8106,0.657949,3.95267,86.9025,39.037,16.0093,447.747,472.667,16.0093,880.861
1,9,1.9279,1.53861,0.801983,4.19322,3.81105,0.801983,3.95267,86.6297,38.7643,15.1288,447.475,472.394,15.1288,880.861
1,10,1.92796,1.53867,0.727233,4.19328,3.81111,0.727233,3.95267,86.6297,38.7643,18.0668,447.475,472.394,18.0668,880.861
1,11,1.92762,1.53833,0.769773,4.19294,3.81077,0.769773,3.95267,86.6297,38.7643,17.2275,447.475,472.394,17.2275,880.861
2,0,1.96051,1.59075,0.604901,4.23212,3.57237,2.58652,3.67953,90.0513,45.4473,46.3695,455.68,422,422.922,830.634
2,1,1.93756,1.59056,0.595602,4.20286,3.54402,0.595602,3.67953,88.8711,45.4473,17.5464,449.801,413.795,17.5464,830.634
2,2,1.93743,1.59042,0.759472,4.20273,3.54389,0.759472,3.67953,88.8711,45.4473,11.0657,449.801,413.795,11.0657,830.634
2,3,1.93721,1.59021,0.787031,4.20252,3.54367,0.787031,3.67953,88.8711,45.4473,19.3527,449.801,413.795,19.3527,830.634
2,4,1.93747,1.59047,0.859839,4.20278,3.54394,0.859839,3.67953,88.8711,45.4473,15.3569,449.801,413.795,15.3569,830.634
2,5,1.93739,1.59039,0.768753,4.20269,3.54385,0.768753,3.67953,88.8711,45.4473,20.6051,449.801,413.795,20.6051,830.634
2,6,1.9376,1.5906,0.816839,4.2029,3.54406,0.816839,3.67953,88.8711,45.4473,9.27588,449.801,413.795,9.27588,830.634
2,7,1.93726,1.59026,0.840358,4.20256,3.54372,0.840358,3.67953,88.8711,45.4473,18.1358,449.801,413.795,18.1358,830.634
2,8,1.93766,1.59066,0.766724,4.20296,3.54412,0.766724,3.67953,88.8711,45.4473,17.1824,449.801,413.795,17.1824,830.634
