rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,4.64798,4.47994,4.41731,4.97228,4.95535,4.89272,5.02686,1460.3,1430.33,1425.27,1502.79,1566.22,1561.15,1585.99
0,1,0,4.64718,4.47967,4.21092,4.97042,4.95508,4.21092,5.02686,1459.66,1430.33,1358.58,1503.8,1566.22,1358.58,1585.99
0,2,0,4.64718,4.47967,4.19117,4.97042,4.95508,4.19117,5.02686,1459.37,1430.05,1355.44,1503.52,1565.94,1355.44,1585.99
0,3,0,4.64718,4.47967,4.19235,4.97042,4.95508,4.19235,5.02686,1459.66,1430.33,1358.76,1503.8,1566.22,1358.76,1585.99
0,4,0,4.64718,4.47967,4.18605,4.97042,4.95508,4.18605,5.02686,1459.37,1430.05,1357.86,1503.52,1565.94,1357.86,1585.99
0,5,0,4.64718,4.47967,4.19976,4.97042,4.95508,4.19976,5.02686,1459.66,1430.33,1355.57,1503.8,1566.22,1355.57,1585.99
1,0,0,4.64798,4.38325,4.32675,4.97228,4.96146,4.90496,5.03049,1460.3,1395.31,1388.43,1502.79,1561.15,1554.28,1586.88
1,1,0,4.64721,4.38304,4.12301,4.97077,4.96125,4.12301,5.03049,1459.67,1395.31,1332.12,1502.33,1561.15,1332.12,1586.88
1,2,0,4.6472,4.38304,4.09105,4.97077,4.96124,4.09105,5.03049,1459.67,1395.31,1322.09,1502.33,1561.15,1322.09,1586.88
1,3,0,4.64721,4.38304,4.08702,4.97077,4.96124,4.08702,5.03049,1459.67,1395.31,1322.86,1502.33,1561.15,1322.86,1586.88
1,4,0,4.64721,4.38304,4.09937,4.97077,4.96124,4.09937,5.03049,1459.67,1395.31,1323.86,1502.33,1561.15,1323.86,1586.88
1,5,0,4.64721,4.38304,4.10461,4.97078,4.96125,4.10461,5.03049,1459.67,1395.31,1318.11,1502.33,1561.15,1318.11,1586.88
2,0,0,4.64798,4.42993,4.33427,4.97228,4.96099,4.86533,5.03096,1460.3,1417.17,1401.34,1502.79,1564.9,1549.07,1587.16
2,1,0,4.64754,4.42969,4.13612,4.97132,4.96075,4.13612,5.03096,1460.31,1416.89,1344.83,1502.89,1564.62,1344.83,1587.16
2,2,0,4.64754,4.42969,4.15724,4.97132,4.96075,4.15724,5.03096,1460.31,1416.89,1352.87,1502.89,1564.62,1352.87,1587.16
2,3,0,4.64755,4.4297,4.14161,4.97133,4.96076,4.14161,5.03096,1460.58,1417.17,1350.06,1503.16,1564.9,1350.06,1587.16
2,4,0,4.64754,4.42969,4.16524,4.97132,4.96075,4.16524,5.03096,1460.31,1416.89,1349.11,1502.89,1564.62,1349.11,1587.16
