rank,thr,socket,uc_ct,uc_pt,uc_tt,omc_ct,omc_pt,omc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,omc_ce,omc_pe,omc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,326.818808,271.984233,251.250242,379.839891,379.827531,300.646255,353.543375,351.165391,330.431517,379.827531,60852.094421,53617.865173,53367.273132,2.090820,1.034424,60720.685486,62381.209412,64250.143250,63999.551208,71351.157715
0,1,0,326.817069,271.983899,253.672473,-1760964454.570299,-1760964454.581430,-1760964454.581700,353.541628,351.165058,253.672473,379.827531,60851.726562,53617.724976,51202.540527,0.134766,0.000000,0.000000,62380.841553,64250.003052,51202.540527,71351.157715
0,2,0,326.816002,271.982831,251.762490,-1760964454.570299,-1760964454.581430,-1760964454.581699,353.540560,351.163990,251.762490,379.827531,60851.726562,53617.724976,51439.601379,0.134766,0.000000,0.000000,62380.841553,64250.003052,51439.601379,71351.157715
0,3,0,326.817185,271.984015,251.188414,-1760964454.570299,-1760964454.581430,-1760964454.581699,353.541743,351.165173,251.188414,379.827531,60851.726562,53617.724976,51617.933594,0.134766,0.000000,0.000000,62380.841553,64250.003052,51617.933594,71351.157715
0,4,0,326.816692,271.983522,253.710977,-1760964454.570299,-1760964454.581430,-1760964454.581700,353.541251,351.164681,253.710977,379.827531,60851.726562,53617.724976,50837.019165,0.134766,0.000000,0.000000,62380.841553,64250.003052,50837.019165,71351.157715
0,5,0,326.816402,271.983232,252.446107,-1760964454.570299,-1760964454.581430,-1760964454.581699,353.540960,351.164390,252.446107,379.827531,60851.726562,53617.724976,51318.696777,0.134766,0.000000,0.000000,62380.841553,64250.003052,51318.696777,71351.157715
0,6,0,326.816613,271.983443,253.998331,-1760964454.570299,-1760964454.581430,-1760964454.581700,353.541172,351.164602,253.998331,379.827531,60851.726562,53617.724976,50735.484375,0.134766,0.000000,0.000000,62380.841553,64250.003052,50735.484375,71351.157715
0,7,0,326.816236,271.983066,251.162349,-1760964454.570299,-1760964454.581430,-1760964454.581699,353.540795,351.164225,251.162349,379.827531,60851.726562,53617.724976,51564.338440,0.134766,0.000000,0.000000,62380.841553,64250.003052,51564.338440,71351.157715
0,8,0,326.816165,271.982995,254.026616,-1760964454.570299,-1760964454.581430,-1760964454.581701,353.540723,351.164153,254.026616,379.827531,60851.726562,53617.724976,50700.274414,0.134766,0.000000,0.000000,62380.841553,64250.003052,50700.274414,71351.157715
0,9,0,326.816072,271.982902,254.029784,-1760964454.570299,-1760964454.581430,-1760964454.581701,353.540630,351.164060,254.029784,379.827531,60851.726562,53617.724976,50654.542847,0.134766,0.000000,0.000000,62380.841553,64250.003052,50654.542847,71351.157715
0,10,0,326.816319,271.983149,253.953234,-1760964454.570299,-1760964454.581430,-1760964454.581701,353.540878,351.164308,253.953234,379.827531,60851.726562,53617.724976,50788.007080,0.134766,0.000000,0.000000,62380.841553,64250.003052,50788.007080,71351.157715
0,11,0,326.815923,271.982753,252.943347,-1760964454.570299,-1760964454.581430,-1760964454.581700,353.540482,351.163912,252.943347,379.827531,60851.726562,53617.724976,50929.070984,0.134766,0.000000,0.000000,62380.841553,64250.003052,50929.070984,71351.157715
0,12,0,326.816810,271.983639,253.617970,-1760964454.570299,-1760964454.581430,-1760964454.581701,353.541368,351.164798,253.617970,379.827531,60851.726562,53617.724976,50889.254700,0.134766,0.000000,0.000000,62380.841553,64250.003052,50889.254700,71351.157715
0,13,0,326.816904,271.983733,252.345755,-1760964454.570299,-1760964454.581430,-1760964454.581700,353.541462,351.164892,252.345755,379.827531,60851.726562,53617.724976,51308.142151,0.134766,0.000000,0.000000,62380.841553,64250.003052,51308.142151,71351.157715
0,14,0,326.815823,271.982653,253.099078,-1760964454.570299,-1760964454.581430,-1760964454.581700,353.540382,351.163812,253.099078,379.827531,60851.726562,53617.724976,50989.312683,0.134766,0.000000,0.000000,62380.841553,64250.003052,50989.312683,71351.157715
0,15,0,326.816512,271.983341,249.892503,-1760964454.570299,-1760964454.581430,-1760964454.581699,353.541070,351.164500,249.892503,379.827531,60851.726562,53617.724976,52015.887939,0.134766,0.000000,0.000000,62380.841553,64250.003052,52015.887939,71351.157715
1,0,0,326.818808,277.498751,256.842353,379.839891,379.838919,307.520581,353.543375,349.817089,329.160690,379.838919,60852.094421,54895.855530,54244.851685,2.090820,1.034424,62012.953369,62381.209412,64238.033630,63587.029785,71353.153076
1,1,0,326.817594,277.498591,257.772032,-1760964454.570231,-1760964454.570231,-1760964454.570570,353.542153,349.816928,257.772032,379.838919,60851.726562,54895.855530,52186.508118,0.000000,0.000000,0.000000,62380.841553,64238.033630,52186.508118,71353.153076
1,2,0,326.816617,277.497613,257.494062,-1760964454.570231,-1760964454.570231,-1760964454.570570,353.541176,349.815951,257.494062,379.838919,60851.726562,54895.855530,52359.619141,0.000000,0.000000,0.000000,62380.841553,64238.033630,52359.619141,71353.153076
1,3,0,326.816969,277.497966,256.469042,-1760964454.570231,-1760964454.570231,-1760964454.570570,353.541528,349.816303,256.469042,379.838919,60851.726562,54895.855530,52629.579224,0.000000,0.000000,0.000000,62380.841553,64238.033630,52629.579224,71353.153076
1,4,0,326.817193,277.498189,257.713782,-1760964454.570231,-1760964454.570231,-1760964454.570570,353.541752,349.816527,257.713782,379.838919,60851.726562,54895.855530,52213.842102,0.000000,0.000000,0.000000,62380.841553,64238.033630,52213.842102,71353.153076
