rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,25.9718,24.3312,15.4336,26.751,26.2953,17.3977,92.8254,2816.16,2599.91,2489.39,3013.29,2918.09,2807.57,4396.61
6,0,25.9718,18.4728,10.5107,26.751,26.4088,18.4471,92.8254,2816.16,1657.5,1870.34,3015.98,2829.34,3042.08,4511.26
7,0,25.9718,19.0447,11.3945,26.751,26.2976,18.6474,92.8254,2816.16,1796.28,1973.84,3014.23,2858.22,3035.78,4617.36
2,0,25.9718,18.6268,11.3968,26.751,26.516,19.286,92.8255,2816.16,1770.85,1897.91,3016.47,2940.57,3067.64,4495.95
1,0,25.9718,17.9831,10.5636,26.7509,26.5791,19.1597,92.8254,2816.16,1672.83,1788.89,3015.49,2955.02,3071.08,4517.3
3,0,25.9718,18.5263,11.3502,26.751,26.5009,19.3251,92.8255,2816.16,1765.48,1931.79,3017.99,2950.87,3117.31,4680.43
4,1,25.9602,19.7802,13.7565,26.7371,26.2453,13.7565,92.8254,2815.53,1864.15,1869.69,3014.25,2799.61,1869.69,4391.61
7,1,25.9597,19.0424,13.0782,26.7365,26.2867,13.0782,92.8254,2814.49,1795.89,1796.92,3013.81,2856.59,1796.92,4617.36
5,1,25.9693,20.0025,13.8282,26.7464,26.2608,13.8282,92.8255,2815.84,1876.6,1900.91,3015.86,2776.84,1900.91,4466.36
6,1,25.9501,18.4705,12.4631,26.7271,26.3869,12.4631,92.8254,2812.66,1657.19,1686.32,3013.41,2826.04,1686.32,4511.26
2,1,25.9492,18.6245,12.9819,26.7262,26.4915,12.9819,92.8255,2814.37,1770.38,1754.13,3015.04,2936.78,1754.13,4495.95
1,1,25.9556,17.9805,12.3758,26.7326,26.5609,12.3758,92.8254,2815.53,1672.52,1653.34,3016.17,2952.21,1653.34,4517.3
3,1,25.9388,18.5238,13.0539,26.7156,26.4655,13.0539,92.8255,2812.3,1765.33,1758.71,3012.67,2945.55,1758.71,4680.43
0,1,25.9661,24.3288,16.103,26.7436,26.2907,16.103,92.8254,2816.62,2599.6,2231.35,3014.44,2917.47,2231.35,4396.61
4,2,25.9603,19.7803,13.3098,26.7372,26.2454,13.3098,92.8254,2815.53,1864.15,1820.21,3014.25,2799.61,1820.21,4391.61
