rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,486.4,438.148,430.466,514.112,509.73,502.048,524.884,120121,113377,113179,120452,125268,125070,129838
86.4,417.991,410.482,514.112,510.936,503.459,524.889,120121,109232,108914,120452,125538,125226,129839
19,0,486.4,428.557,420.651,514.112,512.478,504.572,524.889,120121,111361,111105,120452,125708,125453,129839
20,0,486.4,431.175,423.022,514.112,511.63,503.478,524.889,120121,111844,111643,120452,125480,125278,129839
12,0,486.4,425.502,417.532,514.112,511.333,503.372,524.89,120121,110662,110378,120452,125489,125206,129839
23,0,486.4,432.03,423.162,514.112,511.579,502.711,524.889,120121,111811,111453,120452,125402,125044,129839
21,0,486.4,434.03,425.062,514.112,512.067,503.099,524.889,120121,112364,111961,120452,125427,125025,129839
4,0,486.4,424.648,416.323,514.112,511.401,503.076,524.89,120121,110492,110221,120452,125332,125061,129839
13,0,486.4,421.861,413.99,514.112,511.492,503.631,524.889,120121,110000,109748,120452,125435,125185,129839
2,0,486.4,413.654,405.619,514.112,512.684,504.664,524.89,120121,108044,107632,120452,125728,125319,129839
9,0,486.4,431.189,423.248,514.112,511.675,503.743,524.889,120121,111916,111523,120452,125531,125141,129839
11,0,486.4,421.376,413.159,514.112,512.58,504.386,524.889,120121,109818,109366,120452,125723,125275,129839
18,0,486.4,432.355,424.916,514.112,512.601,505.162,524.889,120121,112197,111915,120452,125787,125506,129839
14,0,486.4,417.021,408.583,514.112,511.718,503.28,524.889,120121,108826,108543,120452,125453,125170,129839
15,0,486.4,455.838,414.884,514.112,505.08,464.133,524.89,120121,113846,109631,120452,124424,120209,129839
22,0,486.4,434.266,426.196,514.112,511.523,503.459,524.889,120121,112563,112215,120452,125562,125216,129839
17,0,486.4,420.897,413.181,514.112,512.521,504.819,524.889,120121,109890,109568,120452,125786,125467,129839
7,0,486.4,423.822,416.45,514.112,511.329,503.957,524.889,120121,110471,110229,120452,125479,125237,129839
6,0,486.4,427.749,420.255,514.112,511.333,503.839,524.89,120121,111073,110900,120452,125469,125296,129839
16,0,486.4,419.54,412.196,514.112,512.697,505.356,524.889,120121,109509,109171,120452,125948,125611,129839
5,0,486.4,425.808,417.943,514.112,511.852,503.989,524.889,120121,110635,110306,120452,125616,125287,129839
8,0,486.4,418.91,411.34,514.112,512.621,505.063,524.889,120121,109334,109181,120452,125740,125588,129839
19,1,486.399,428.557,416.047,514.11,512.478,416.047,524.889,120121,111361,108632,120452,125708,108632,129839
10,1,486.399,420.876,408.844,514.11,512.862,408.844,524.889,120121,109519,106805,120452,125935,106805,129839
1,1,486.399,417.99,407.159,514.11,510.935,407.159,524.889,120121,109232,106165,120452,125538,106165,129839
3,1,486.399,427.165,413.607,514.111,512.891,413.607,524.889,120121,111189,107544,120452,125711,107544,129839
20,1,486.399,431.174,419.954,514.111,511.63,419.954,524.889,120121,111844,108446,120452,125480,108446,129839
12,1,486.399,425.501,411.569,514.111,511.333,411.569,524.89,120121,110662,107583,120452,125489,107583,129839
23,1,486.399,432.03,413.438,514.11,511.578,413.438,524.889,120121,111811,107081,120451,125402,107081,129839
21,1,486.399,434.03,419.343,514.111,512.067,419.343,524.889,120121,112364,108203,120451,125427,108203,129839
4,1,486.399,424.647,412.765,514.111,511.4,412.765,524.89,120121,110492,106964,120452,125332,106964,129839
13,1,486.399,421.861,409.945,514.111,511.492,409.945,524.889,120121,110000,106568,120452,125436,106568,129839
2,1,486.399,413.653,401.162,514.111,512.684,401.162,524.89,120121,108044,105403,120452,125728,105403,129839
9,1,486.399,431.189,417.307,514.11,511.674,417.307,524.889,120121,111916,108380,120452,125531,108380,129839
11,1,486.399,421.376,410.549,514.111,512.58,410.549,524.889,120121,109818,106714,120452,125723,106714,129839
18,1,486.399,432.355,418.674,514.11,512.6,418.674,524.889,120121,112197,108658,120451,125787,108658,129839
14,1,486.399,417.02,404.496,514.111,511.717,404.496,524.889,120121,108826,105153,120452,125453,105153,129839
15,1,486.399,455.837,421.109,514.111,505.08,421.109,524.89,120121,113846,107585,120452,124424,107585,129839
22,1,486.399,434.265,422.754,514.111,511.523,422.754,524.889,120121,112563,109510,120452,125562,109510,129839
17,1,486.399,420.897,409.812,514.111,512.521,409.812,524.889,120121,109890,106722,120452,125786,106722,129839
7,1,486.399,423.821,411.142,514.111,511.328,411.142,524.889,120121,110471,106802,120452,125479,106802,129839
6,1,486.399,427.749,413.424,514.111,511.333,413.424,524.89,120121,111073,108060,120452,125469,108060,129839
0,1,486.4,438.148,417.33,514.111,509.73,417.33,524.884,120121,113377,108020,120452,125268,108020,129838
16,1,486.399,419.54,408.744,514.111,512.697,408.744,524.889,120121,109509,106229,120452,125948,106229,129839
5,1,486.399,425.807,414.537,514.111,511.852,414.537,524.889,120121,110635,107209,120452,125616,107209,129839
19,2,486.399,428.557,417.301,514.111,512.478,417.301,524.889,120121,111361,108158,120452,125709,108158,129839
10,2,486.399,420.877,409.554,514.111,512.862,409.554,524.889,120121,109519,106536,120452,125935,106536,129839
8,1,486.399,418.91,405.183,514.111,512.621,405.183,524.889,120121,109334,105732,120452,125740,105732,129839
1,2,486.399,417.991,406.468,514.111,510.935,406.468,524.889,120121,109232,106317,120452,125538,106317,129839
3,2,486.399,427.164,412.586,514.11,512.89,412.586,524.889,120121,111189,108047,120452,125711,108047,129839
20,2,486.399,431.174,419.413,514.11,511.63,419.413,524.889,120121,111844,108754,120452,125480,108754,129839
12,2,486.399,425.501,411.978,514.111,511.333,411.978,524.89,120121,110662,107082,120452,125489,107082,129839
23,2,486.399,432.03,412.886,514.111,511.579,412.886,524.889,120121,111811,107207,120451,125402,107207,129839
21,2,486.399,434.03,418.365,514.111,512.067,418.365,524.889,120121,112364,108446,120451,125427,108446,129839
4,2,486.399,424.648,412.317,514.111,511.4,412.317,524.89,120121,110492,107300,120452,125332,107300,129839
13,2,486.399,421.861,409.541,514.111,511.492,409.541,524.889,120121,110000,106566,120452,125435,106566,129839
2,2,486.399,413.654,402.758,514.111,512.684,402.758,524.89,120121,108044,104906,120452,125728,104906,129839
9,2,486.399,431.189,417.944,514.111,511.674,417.944,524.889,120121,111916,108267,120452,125531,108267,129839
11,2,486.399,421.376,410.186,514.11,512.58,410.186,524.889,120121,109818,106959,120452,125723,106959,129839
18,2,486.399,432.355,419.1,514.111,512.601,419.1,524.889,120121,112197,108445,120451,125787,108445,129839
14,2,486.399,417.021,403.893,514.111,511.717,403.893,524.889,120121,108826,105400,120452,125453,105400,129839
15,2,486.399,455.837,430.925,514.111,505.08,430.925,524.89,120121,113846,108993,120452,124424,108993,129839
22,2,486.399,434.265,423.397,514.111,511.523,423.397,524.889,120121,112563,109294,120452,125562,109294,129839
17,2,486.399,420.897,409.209,514.111,512.521,409.209,524.889,120121,109890,106957,120452,125786,106957,129839
7,2,486.399,423.821,409.042,514.111,511.328,409.042,524.889,120121,110471,107472,120452,125479,107472,129839
6,2,486.399,427.748,415.019,514.111,511.333,415.019,524.89,120121,111073,107412,120452,125469,107412,129839
0,2,486.4,438.148,415.207,514.111,509.73,415.207,524.884,120121,113377,107966,120452,125268,107966,129838
16,2,486.399,419.54,408.018,514.111,512.697,408.018,524.889,120121,109509,106471,120452,125948,106471,129839
5,2,486.399,425.807,414.221,514.111,511.852,414.221,524.889,120121,110635,107388,120452,125616,107388,129839
19,3,486.399,428.557,416.724,514.111,512.478,416.724,524.889,120121,111361,108318,120452,125708,108318,129839
10,3,486.399,420.876,410.006,514.11,512.862,410.006,524.889,120121,109519,106351,120452,125935,106351,129839
8,2,486.399,418.91,404.506,514.11,512.62,404.506,524.889,120121,109334,106096,120452,125740,106096,129839
1,3,486.399,417.99,405.002,514.11,510.935,405.002,524.889,120121,109232,106672,120452,125538,106672,129839
3,3,486.399,427.164,413.888,514.11,512.89,413.888,524.889,120121,111189,107743,120452,125711,107743,129839
20,3,486.399,431.174,418.289,514.111,511.63,418.289,524.889,120121,111844,108978,120452,125480,108978,129839
12,3,486.399,425.501,413.033,514.111,511.333,413.033,524.89,120121,110662,106924,120452,125489,106924,129839
23,3,486.399,432.03,412.722,514.111,511.579,412.722,524.889,120121,111811,107787,120451,125402,107787,129839
21,3,486.399,434.03,417.364,514.111,512.067,417.364,524.889,120121,112364,108860,120452,125427,108860,129839
4,3,486.399,424.647,411.39,514.11,511.4,411.39,524.89,120121,110492,107801,120452,125333,107801,129839
13,3,486.399,421.861,408.224,514.11,511.492,408.224,524.889,120121,110000,107205,120452,125435,107205,129839
2,3,486.399,413.653,402.518,514.111,512.684,402.518,524.89,120121,108044,105145,120452,125728,105145,129839
9,3,486.399,431.189,416.086,514.11,511.674,416.086,524.889,120121,111916,108839,120452,125531,108839,129839
11,3,486.399,421.376,409.29,514.11,512.58,409.29,524.889,120121,109818,107220,120452,125723,107220,129839
18,3,486.399,432.355,417.585,514.11,512.6,417.585,524.889,120121,112197,109092,120451,125787,109092,129839
14,3,486.399,417.02,402.747,514.11,511.717,402.747,524.889,120121,108826,105790,120452,125453,105790,129839
15,3,486.399,455.837,414.858,514.111,505.08,414.858,524.89,120121,113846,107430,120452,124424,107430,129839
22,3,486.399,434.265,421.879,514.111,511.522,421.879,524.889,120121,112563,109880,120452,125562,109880,129839
17,3,486.399,420.897,407.85,514.11,512.521,407.85,524.889,120121,109890,107218,120452,125786,107218,129839
7,3,486.399,423.821,410.584,514.11,511.328,410.584,524.889,120121,110471,107068,120452,125479,107068,129839
6,3,486.399,427.749,414.565,514.111,511.333,414.565,524.89,120121,111073,107584,120452,125469,107584,129839
0,3,486.4,438.148,414.366,514.111,509.729,414.366,524.884,120121,113377,108450,120452,125268,108450,129838
16,3,486.399,419.54,407.524,514.11,512.696,407.524,524.889,120121,109509,106837,120452,125948,106837,129839
5,3,486.399,425.808,413.033,514.111,511.852,413.033,524.889,120121,110635,107797,120452,125616,107797,129839
