rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,598.573,580.521,196.743,619.291,603.334,219.557,649.968,6604.81,6171.34,6882.9,11626.2,9066.22,9777.35,81817.3
1,0,598.573,559.314,221.724,619.291,611.509,273.921,651.919,6604.81,6051.23,6335.79,11633.5,12678.8,12963.4,82013.5
4,0,598.573,593.396,226.801,619.291,607.685,241.092,651.653,6604.81,6379.15,6719.91,11624.1,8121.07,8461.78,81986.5
3,0,598.573,499.248,202.296,619.291,613.642,316.703,652.15,6604.81,5772.94,6026.25,11646.7,20276.9,20528.9,82036.7
2,0,598.573,562.017,222.131,619.291,610.555,270.669,651.17,6604.81,6087.53,6379.91,11631.5,12263.7,12556.2,81937.7
2,1,598.52,562.016,262.516,619.161,610.428,262.516,651.17,6602.7,6087.53,3047.87,11616.8,12247.5,3047.87,81937.7
6,1,598.52,566.45,282.966,619.161,610.089,282.966,653.441,6603.09,6107.69,3098.11,11617.6,11591.5,3098.11,82167.1
7,1,598.557,594.551,279.343,619.198,609.401,279.343,657.176,6604.87,6598.65,3243.93,11619.4,8288.28,3243.93,82544.2
5,1,598.556,583.511,293.343,619.196,612.103,293.343,655.739,6603.97,6202.87,3210.64,11618.1,9674.01,3210.64,82399
1,1,598.505,559.312,265.522,619.146,611.366,265.522,651.919,6602.23,6051.23,2998.95,11616.3,12660.7,2998.95,82013.5
4,1,598.571,593.394,294.644,619.212,607.615,294.644,651.653,6604.62,6379.15,3215.91,11618.7,8112.28,3215.91,81986.5
3,1,598.405,499.246,244.664,619.045,613.397,244.664,652.15,6601.12,5772.75,2731.99,11615.4,20245.6,2731.99,82036.7
0,1,598.548,580.519,289.685,619.189,603.247,289.685,649.968,6603.1,6171.15,3212.03,11617.2,9055.33,3212.03,81817.3
2,2,598.52,562.016,280.786,619.161,610.428,280.786,651.17,6602.7,6087.53,3086.43,11616.8,12247.5,3086.43,81937.7
6,2,598.519,566.449,269.567,619.16,610.088,269.567,653.441,6603.09,6107.69,3093.6,11617.6,11591.5,3093.6,82167.1
7,2,598.558,594.551,293.292,619.198,609.402,293.292,657.176,6604.87,6598.65,3203.08,11619.4,8288.28,3203.08,82544.2
5,2,598.556,583.511,274.214,619.196,612.103,274.214,655.739,6603.97,6202.87,3181.01,11618.1,9674.01,3181.01,82399
1,2,598.506,559.313,279.792,619.147,611.366,279.792,651.919,6602.23,6051.23,3052.01,11616.3,12660.7,3052.01,82013.5
4,2,598.571,593.394,278.625,619.212,607.615,278.625,651.653,6604.62,6379.15,3192.19,11618.7,8112.28,3192.19,81986.5
3,2,598.405,499.246,229.59,619.045,613.397,229.59,652.15,6601.12,5772.75,2686.89,11615.4,20245.6,2686.89,82036.7
0,2,598.549,580.52,276.04,619.19,603.248,276.04,649.968,6603.1,6171.15,3225.31,11617.2,9055.33,3225.31,81817.3
2,3,598.52,562.016,278.614,619.16,610.428,278.614,651.17,6602.7,6087.53,3042.95,11616.8,12247.5,3042.95,81937.7
6,3,598.52,566.45,218.791,619.161,610.089,218.791,653.441,6603.09,6107.69,3098.12,11617.6,11591.5,3098.12,82167.1
7,3,598.558,594.552,217.496,619.198,609.402,217.496,657.176,6604.87,6598.65,3211.73,11619.4,8288.28,3211.73,82544.2
5,3,598.556,583.511,210.486,619.196,612.103,210.486,655.739,6603.97,6202.87,3160.08,11618.1,9674.01,3160.08,82399
1,3,598.506,559.312,206.621,619.146,611.366,206.621,651.919,6602.23,6051.23,2953.68,11616.3,12660.7,2953.68,82013.5
4,3,598.572,593.395,219.82,619.213,607.616,219.82,651.653,6604.62,6379.15,3178.21,11618.7,8112.28,3178.21,81986.5
3,3,598.406,499.247,182.237,619.046,613.398,182.237,652.15,6601.12,5772.75,2715.04,11615.4,20245.6,2715.04,82036.7
0,3,598.549,580.52,232.794,619.189,603.247,232.794,649.968,6603.1,6171.15,3207.35,11617.2,9055.33,3207.35,81817.3
2,4,598.521,562.017,211.642,619.161,610.429,211.642,651.17,6602.7,6087.53,2978.73,11616.8,12247.5,2978.73,81937.7
6,4,598.52,566.45,281.669,619.16,610.089,281.669,653.441,6603.09,6107.69,3103.13,11617.6,11591.5,3103.13,82167.1
7,4,598.558,594.552,288.601,619.198,609.402,288.601,657.176,6604.87,6598.65,3264.71,11619.4,8288.28,3264.71,82544.2
5,4,598.555,583.51,289.672,619.195,612.102,289.672,655.739,6603.97,6202.87,3200.85,11618.1,9674.01,3200.85,82399
1,4,598.506,559.313,277.462,619.147,611.366,277.462,651.919,6602.23,6051.23,3016.33,11616.3,12660.7,3016.33,82013.5
4,4,598.571,593.394,288.821,619.212,607.615,288.821,651.653,6604.8,6379.33,3191.17,11618.9,8112.46,3191.17,81986.5
3,4,598.405,499.246,249.082,619.045,613.396,249.082,652.15,6601.12,5772.75,2722.02,11615.4,20245.6,2722.02,82036.7
0,4,598.548,580.519,283.775,619.188,603.247,283.775,649.968,6603.24,6171.29,3215.11,11617.3,9055.47,3215.11,81817.3
2,5,598.521,562.017,303.502,619.161,610.428,303.502,651.17,6602.7,6087.53,3065.85,11616.8,12247.5,3065.85,81937.7
6,5,598.52,566.45,305.475,619.161,610.089,305.475,653.441,6603.09,6107.69,3084.75,11617.6,11591.5,3084.75,82167.1
7,5,598.557,594.551,318.206,619.198,609.401,318.206,657.176,6604.87,6598.65,3298.13,11619.4,8288.28,3298.13,82544.2
5,5,598.555,583.51,314.907,619.196,612.102,314.907,655.739,6603.97,6202.87,3194.19,11618.1,9674.01,3194.19,82399
1,5,598.506,559.312,296.346,619.147,611.366,296.346,651.919,6602.23,6051.23,3061.73,11616.3,12660.7,3061.73,82013.5
4,5,598.572,593.395,314.968,619.213,607.616,314.968,651.653,6604.62,6379.15,3187.44,11618.7,8112.28,3187.44,81986.5
3,5,598.406,499.246,262.701,619.046,613.397,262.701,652.15,6601.12,5772.75,2698,11615.4,20245.6,2698,82036.7
0,5,598.549,580.52,314.159,619.189,603.248,314.159,649.968,6603.1,6171.15,3212.16,11617.2,9055.33,3212.16,81817.3
2,6,598.52,562.016,297.433,619.16,610.427,297.433,651.17,6602.7,6087.53,3070.06,11616.8,12247.5,3070.06,81937.7
6,6,598.519,566.449,300.711,619.16,610.088,300.711,653.441,6603.09,6107.69,3076.04,11617.6,11591.5,3076.04,82167.1
7,6,598.558,594.551,311.008,619.198,609.402,311.008,657.176,6604.87,6598.65,3245.56,11619.4,8288.28,3245.56,82544.2
5,6,598.556,583.511,309.468,619.197,612.104,309.468,655.739,6603.97,6202.87,3156.26,11618.1,9674.01,3156.26,82399
1,6,598.507,559.313,302.918,619.147,611.367,302.918,651.919,6602.23,6051.23,3017.04,11616.3,12660.7,3017.04,82013.5
4,6,598.572,593.395,322.377,619.213,607.616,322.377,651.653,6604.69,6379.22,3236.44,11618.8,8112.35,3236.44,81986.5
3,6,598.406,499.247,253.873,619.046,613.397,253.873,652.15,6601.12,5772.75,2757.92,11615.4,20245.6,2757.92,82036.7
0,6,598.548,580.519,308.281,619.189,603.247,308.281,649.968,6603.1,6171.15,3245.67,11617.2,9055.33,3245.67,81817.3
2,7,598.52,562.016,288.949,619.16,610.428,288.949,651.17,6602.7,6087.53,3012.1,11616.8,12247.5,3012.1,81937.7
6,7,598.519,566.449,292.262,619.16,610.088,292.262,653.441,6603.09,6107.69,3048.99,11617.6,11591.5,3048.99,82167.1
7,7,598.558,594.552,304.041,619.198,609.402,304.041,657.176,6604.87,6598.65,3230.59,11619.4,8288.28,3230.59,82544.2
5,7,598.555,583.51,249.043,619.195,612.102,249.043,655.739,6603.97,6202.87,3147.56,11618.1,9674.01,3147.56,82399
1,7,598.506,559.312,286.326,619.146,611.366,286.326,651.919,6602.23,6051.23,3032.93,11616.3,12660.7,3032.93,82013.5
4,7,598.572,593.394,267.014,619.212,607.615,267.014,651.653,6604.62,6379.15,3199.87,11618.7,8112.28,3199.87,81986.5
3,7,598.406,499.247,269.226,619.046,613.398,269.226,652.15,6601.12,5772.75,2750.59,11615.4,20245.6,2750.59,82036.7
0,7,598.549,580.52,298.119,619.19,603.248,298.119,649.968,6603.1,6171.15,3228.37,11617.2,9055.33,3228.37,81817.3
