rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,201.543,174.671,169.677,209.515,208.681,203.687,215.954,53288.8,48094.4,48132.9,53674.2,55126.1,55164.7,57692.5

1,0,201.543,175.865,169.846,209.515,208.515,202.496,215.957,53288.8,48488.4,48477,53674.2,55026.3,55014.9,57692.8
11,0,201.543,191.466,176.958,209.515,206.447,191.945,215.956,53288.8,51361.4,50313.6,53674.2,54494.7,53449.2,57692.5
7,0,201.543,177.282,167.545,209.515,206.293,196.556,215.956,53288.8,48168.1,47682.1,53674.2,54415.7,53929.8,57692.5
9,0,201.543,182.854,176.829,209.515,208.189,202.164,215.956,53288.8,50282.4,50249.3,53674.2,54933.4,54900.2,57692.5
2,0,201.543,180.626,174.671,209.515,208.066,202.111,215.957,53288.8,49821.3,49752.4,53674.2,54962.3,54893.4,57692.8
6,0,201.543,177.628,171.513,209.515,207.613,201.499,215.956,53288.8,48882.6,48845.3,53674.2,54726.6,54689.3,57692.5
8,0,201.543,182.702,176.563,209.515,207.983,201.845,215.956,53288.8,50330.9,50410.2,53674.2,54884.7,54964,57692.5
4,0,201.543,180.192,173.734,209.515,207.439,200.98,215.957,53288.8,49597.8,49649,53674.2,54726.2,54777.4,57692.5
3,1,201.542,169.191,162.63,209.514,208.575,162.63,215.957,53289.1,46654.3,45299.5,53674.4,55160.3,45299.5,57692.8
0,1,201.543,174.671,168.089,209.514,208.681,168.089,215.954,53288.8,48094.4,46800.4,53674.2,55126.1,46800.4,57692.5
5,1,201.543,172.605,165.017,209.514,207.33,165.017,215.957,53289,47464.1,46202.9,53674.3,54632.7,46202.9,57692.5
10,1,201.542,185.436,178.611,209.514,206.92,178.611,215.956,53288.8,50886.4,49488.4,53674,54631.9,49488.4,57692.5
1,1,201.542,175.865,169.171,209.513,208.515,169.171,215.957,53288.8,48488.4,47309.5,53674.2,55026.3,47309.5,57692.8
11,1,201.543,191.466,175.627,209.514,206.447,175.627,215.956,53288.8,51361.4,48915.4,53674.2,54494.7,48915.4,57692.5
7,1,201.543,177.282,166.864,209.514,206.293,166.864,215.956,53289.1,48168.1,46303.5,53674.4,54415.7,46303.5,57692.5
9,1,201.542,182.853,176.124,209.514,208.188,176.124,215.956,53288.8,50282.4,48972.1,53674,54933.4,48972.1,57692.5
2,1,201.542,180.626,174.489,209.514,208.066,174.489,215.957,53289.2,49821.5,48646.5,53674.5,54962.5,48646.5,57692.8
6,1,201.543,177.628,170.615,209.514,207.613,170.615,215.956,53288.8,48882.6,47520.3,53674.2,54726.6,47520.3,57692.5
8,1,201.542,182.701,175.301,209.514,207.983,175.301,215.956,53289,50331.1,49007.6,53674.3,54884.9,49007.6,57692.5
3,2,201.542,169.191,162.59,209.514,208.575,162.59,215.957,53289.1,46654.3,45380,53674.4,55160.3,45380,57692.8
0,2,201.543,174.671,167.878,209.514,208.681,167.878,215.954,53288.8,48094.4,46873.6,53674.2,55126.1,46873.6,57692.5
4,1,201.543,180.192,173.548,209.514,207.438,173.548,215.957,53288.8,49597.8,48167.7,53674.2,54726.2,48167.7,57692.5
5,2,201.543,172.605,165.522,209.514,207.331,165.522,215.957,53289,47464.1,46022.1,53674.3,54632.7,46022.1,57692.5
10,2,201.543,185.436,178.412,209.514,206.92,178.412,215.956,53288.8,50886.4,49585.9,53674,54631.9,49585.9,57692.5
1,2,201.543,175.865,169.273,209.514,208.515,169.273,215.957,53288.8,48488.4,47270.9,53674.2,55026.3,47270.9,57692.8
11,2,201.543,191.466,175.925,209.514,206.447,175.925,215.956,53288.8,51361.4,48804,53674.2,54494.7,48804,57692.5
7,2,201.542,177.281,166.867,209.514,206.293,166.867,215.956,53289.1,48168.1,46418.3,53674.4,54415.7,46418.3,57692.5
9,2,201.542,182.853,176.139,209.514,208.188,176.139,215.956,53288.8,50282.4,49033.7,53674,54933.4,49033.7,57692.5
2,2,201.542,180.626,174.215,209.514,208.066,174.215,215.957,53289.1,49821.3,48727.6,53674.4,54962.3,48727.6,57692.8
6,2,201.542,177.627,170.822,209.514,207.613,170.822,215.956,53288.8,48882.6,47482.4,53674.2,54726.6,47482.4,57692.5
8,2,201.542,182.701,175.145,209.514,207.983,175.145,215.956,53288.8,50330.9,49109.4,53674.2,54884.7,49109.4,57692.5
3,3,201.543,169.191,162.466,209.514,208.575,162.466,215.957,53289.1,46654.3,45324.2,53674.4,55160.3,45324.2,57692.8
0,3,201.543,174.671,167.463,209.514,208.681,167.463,215.954,53288.8,48094.4,47110.9,53674.2,55126.1,47110.9,57692.5
4,2,201.543,180.192,172.944,209.514,207.438,172.944,215.957,53288.8,49597.8,48230.1,53674.2,54726.2,48230.1,57692.5
5,3,201.543,172.605,166.508,209.514,207.33,166.508,215.957,53289,47464.1,45507.5,53674.3,54632.7,45507.5,57692.5
10,3,201.542,185.436,178.045,209.514,206.92,178.045,215.956,53289,50886.6,49771.1,53674.2,54632.1,49771.1,57692.5
1,3,201.542,175.865,169.101,209.513,208.515,169.101,215.957,53288.8,48488.4,47439.7,53674.2,55026.3,47439.7,57692.8
11,3,201.542,191.466,175.898,209.514,206.446,175.898,215.956,53288.8,51361.4,48802.4,53674.2,54494.7,48802.4,57692.5
7,3,201.542,177.281,171.055,209.514,206.293,171.055,215.956,53289.1,48168.1,46297.7,53674.4,54415.7,46297.7,57692.5
9,3,201.542,182.853,175.793,209.513,208.188,175.793,215.956,53288.8,50282.4,49189.6,53674,54933.4,49189.6,57692.5
2,3,201.543,180.626,174.008,209.514,208.066,174.008,215.957,53289.1,49821.3,48905.5,53674.4,54962.3,48905.5,57692.8
6,3,201.542,177.628,170.777,209.514,207.613,170.777,215.956,53288.8,48882.6,47487.9,53674.2,54726.6,47487.9,57692.5
8,3,201.542,182.701,175.659,209.514,207.983,175.659,215.956,53288.8,50330.9,48987.4,53674.2,54884.7,48987.4,57692.5
3,4,201.542,169.191,162.084,209.513,208.575,162.084,215.957,53289.1,46654.3,45549.3,53674.4,55160.3,45549.3,57692.8
0,4,201.543,174.671,168.135,209.514,208.681,168.135,215.954,53288.8,48094.4,46812.9,53674.2,55126.1,46812.9,57692.5
4,3,201.542,180.191,172.736,209.514,207.438,172.736,215.957,53288.8,49597.8,48410.8,53674.2,54726.2,48410.8,57692.5
5,4,201.542,172.605,165.134,209.514,207.33,165.134,215.957,53289,47464.1,46161.9,53674.3,54632.7,46161.9,57692.5
