rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,312.034,246.314,89.5218,332.915,324.285,167.492,388.559,22720.3,21807.6,23591,41288.8,44933.3,46716.7,111626
0,1,311.99,246.312,142.344,332.87,324.241,142.344,388.559,22718.7,21806.7,12347.5,41278.5,44919.6,12347.5,111626
0,2,311.99,246.312,171.594,332.87,324.241,171.594,388.559,22718.7,21806.7,11705.3,41278.5,44919.6,11705.3,111626
1,0,312.034,256.29,105.551,332.915,324.997,174.258,388.746,22720.3,22784.7,23729.1,41289.2,43155,44099.4,111672
1,1,311.988,256.289,136.552,332.868,324.951,136.552,388.746,22721.5,22784.2,11851.7,41280.5,43140.9,11851.7,111672
1,2,311.989,256.289,162.305,332.868,324.951,162.305,388.746,22721.5,22784.2,11398.6,41280.5,43140.9,11398.6,111672
2,0,312.034,245.692,88.3632,332.915,325.096,167.767,388.709,22720.3,22065.9,23589.3,41288.8,45595.9,47119.3,111662
2,1,311.99,245.69,135.793,332.87,325.052,135.793,388.709,22719.8,22065.1,12104.2,41278.8,45582.2,12104.2,111662
2,2,311.99,245.69,177.394,332.87,325.052,177.394,388.709,22720.3,22065.5,11395.6,41279.2,45582.7,11395.6,111662
3,0,312.034,246.663,91.0511,332.915,325.144,169.532,388.987,22720.3,22267.4,23660.6,41288.8,45487.1,46880.3,111734
3,1,311.99,246.662,135.885,332.87,325.099,135.885,388.987,22721.4,22267,12099.9,41280.8,45473.5,12099.9,111734
3,2,311.99,246.662,175.103,332.87,325.1,175.103,388.987,22721.4,22267,11532.4,41280.8,45473.5,11532.4,111734
4,0,312.034,250.651,94.2533,332.915,327.495,171.097,393.282,22720.3,22860.1,25104.8,41287.6,45495.8,47740.5,112875
4,1,311.993,250.649,141.941,332.874,327.455,141.941,393.282,22719.6,22859.6,12130.2,41279.4,45483.3,12130.2,112875
4,2,311.993,250.649,173.155,332.874,327.455,173.155,393.282,22719.6,22859.6,11655.3,41279.4,45483.3,11655.3,112875
5,0,312.034,251.469,92.1704,332.915,326.521,167.223,393.392,22720.3,22743.1,24743.1,41287.6,44843.5,46843.5,112904
5,1,311.993,251.467,139.711,332.873,326.481,139.711,393.392,22720.7,22742.7,12353.8,41279.6,44831.1,12353.8,112904
5,2,311.993,251.467,178.875,332.873,326.481,178.875,393.392,22720.7,22742.7,11748.2,41279.6,44831.1,11748.2,112904
6,0,312.034,251.499,91.0983,332.915,325.059,164.658,391.724,22720.3,22637.1,24325.6,41287.1,44423.7,46112.2,112463
6,1,311.994,251.497,139.841,332.874,325.019,139.841,391.724,22723.3,22636.6,12450,41282.7,44411.6,12450,112463
6,2,311.994,251.497,180.513,332.874,325.019,180.513,391.724,22723.3,22636.6,11790,41282.7,44411.6,11790,112463
7,0,312.034,251.739,93.0244,332.915,323.361,164.647,391.092,22720.3,22749.1,25659.6,41287.6,43940.7,46851.2,112295
7,1,311.993,251.737,143.808,332.873,323.322,143.808,391.092,22722.1,22748.7,12364.4,41279.5,43928.3,12364.4,112295
7,2,311.993,251.737,173.343,332.873,323.322,173.343,391.092,22722.1,22748.7,12084,41279.5,43928.3,12084,112295
8,0,312.034,245.569,88.902,332.915,324.755,168.088,388.59,22720.3,21688.8,23669.5,41289.2,45204,47184.7,111633
8,1,311.989,245.567,171.853,332.868,324.709,171.853,388.59,22721.4,21688.3,11567.1,41279.1,45189.9,11567.1,111633
8,2,311.989,245.567,140.531,332.869,324.709,140.531,388.59,22721.8,21688.7,12224.3,41279.5,45190.3,12224.3,111633
9,0,312.034,250.753,98.8802,332.915,324.908,173.035,388.749,22720.3,22639,23777.3,41289.2,44563.2,45701.6,111673
9,1,311.989,250.751,163.39,332.869,324.863,163.39,388.749,22720,22638.5,11508.8,41279.4,44549.1,11508.8,111673
9,2,311.99,250.752,139.733,332.869,324.863,139.733,388.749,22720,22638.5,11842.8,41279.4,44549.1,11842.8,111673
10,0,312.034,246.626,91.3667,332.915,325.112,169.853,388.625,22720.3,22433.2,24029.7,41288.8,45670.2,47266.8,111642
10,1,311.991,246.624,173.574,332.871,325.069,173.574,388.625,22716.7,22432.7,11304.5,41275.7,45656.6,11304.5,111642
10,2,311.991,246.624,136.72,332.871,325.069,136.72,388.625,22716.7,22432.7,12175.6,41275.7,45656.6,12175.6,111642
11,0,312.034,246.08,88.5013,332.915,325.193,167.614,389.098,22720.3,22200.9,23617.7,41289.2,45568.9,46985.7,111763
11,1,311.99,246.079,133.974,332.87,325.148,133.974,389.098,22720.4,22200.4,12329.9,41279.8,45554.8,12329.9,111763
11,2,311.99,246.079,178.751,332.87,325.148,178.751,389.098,22720.4,22200.4,11361.1,41279.8,45554.8,11361.1,111763
12,0,312.034,250.808,92.8497,332.915,327.736,169.777,393.313,22720.3,22702.6,24723.7,41287.6,45314.9,47336,112883
12,1,311.993,250.806,178.015,332.873,327.695,178.015,393.313,22721.4,22702.2,11598.5,41281.2,45302.5,11598.5,112883
12,2,311.993,250.806,138.683,332.873,327.695,138.683,393.313,22721.4,22702.2,12259.5,41281.2,45302.5,12259.5,112883
13,0,312.034,253.866,95.6794,332.915,325.84,167.653,391.94,22720.3,23360.1,26308.3,41287.1,44549.6,47497.9,112520
13,1,311.994,253.865,143.675,332.875,325.802,143.675,391.94,22718.4,23359.6,12255.1,41275.9,44537.6,12255.1,112520
13,2,311.994,253.865,172.651,332.875,325.802,172.651,391.94,22718.4,23359.6,11808.2,41275.9,44537.6,11808.2,112520
14,0,312.034,249.484,93.2622,332.915,324.655,168.434,392.121,22720.3,23006.2,25994.3,41287.6,45222.6,48210.7,112568
14,1,311.993,249.482,172.238,332.873,324.616,172.238,392.121,22720.2,23005.8,12086.7,41278.9,45210.2,12086.7,112568
14,2,311.993,249.482,141.004,332.874,324.616,141.004,392.121,22720.2,23005.8,12418.6,41278.9,45210.2,12418.6,112568
15,0,312.034,253.535,92.4504,332.915,323.051,161.966,389.843,22720.3,22694.4,25218.7,41287.6,43294.5,45818.7,111961
15,1,311.994,253.533,177.243,332.874,323.011,177.243,389.843,22720.9,22694,11856.6,41279.5,43282,11856.6,111961
15,2,311.994,253.533,143.004,332.874,323.011,143.004,389.843,22720.9,22694,12356.4,41279.5,43282,12356.4,111961
16,0,312.034,243.021,91.9925,332.915,320.652,169.623,388.927,22720.3,23573.8,26673.4,41288.4,46617.8,49717.4,111718
16,1,311.989,243.019,163.183,332.87,320.609,163.183,388.927,22717.7,23573.3,12952,41276.3,46604.5,12952,111718
16,2,311.989,243.019,139.51,332.87,320.61,139.51,388.927,22717.7,23573.3,13116.7,41276.3,46604.5,13116.7,111718
17,0,312.034,246.034,90.8474,332.915,324.837,169.65,388.337,22720.3,22149.4,23390,41288.8,45484.3,46724.9,111575
17,1,311.992,246.033,135.447,332.871,324.793,135.447,388.337,22719,22149,12234.5,41278.5,45470.6,12234.5,111575
17,2,311.992,246.033,174.895,332.871,324.793,174.895,388.337,22719,22149,11401,41278.5,45470.6,11401,111575
18,0,312.034,245.63,89.2343,332.915,325.338,168.942,389.001,22720.3,21940.5,23605,41289.2,45560.9,47225.5,111737
18,1,311.989,245.628,134.236,332.868,325.291,134.236,389.001,22717.5,21939.6,12180.3,41277.7,45546.4,12180.3,111737
18,2,311.989,245.628,177.762,332.868,325.292,177.762,389.001,22717.8,21940,11315.7,41278,45546.8,11315.7,111737
19,0,312.034,251.004,90.929,332.915,327.648,167.573,393.478,22720.3,22432,24430.1,41287.6,44997.3,46995.4,112927
19,1,311.994,251.002,139.524,332.874,327.608,139.524,393.478,22718.2,22431.6,12400.5,41276.4,44984.9,12400.5,112927
19,2,311.994,251.002,180.613,332.874,327.608,180.613,393.478,22718.2,22431.6,11629.4,41276.4,44984.9,11629.4,112927
20,0,312.034,252.458,90.8564,332.915,327.438,165.836,393.669,22720.3,22528.3,24402,41287.1,44637.7,46511.4,112977
20,1,311.994,252.457,145.566,332.874,327.399,145.566,393.669,22717,22527.8,12433,41276,44625.7,12433,112977
20,2,311.994,252.457,177.104,332.874,327.399,177.104,393.669,22717,22527.8,11987.9,41276,44625.7,11987.9,112977
21,0,312.034,251.062,91.3178,332.915,325.649,165.904,391.881,22720.3,22858.5,24281.2,41287.6,44863.1,46285.8,112504
21,1,311.993,251.061,139.021,332.872,325.609,139.021,391.881,22719.4,22858,12520.3,41278.1,44850.7,12520.3,112504
